"CDC34","ARHGAP6"
"CDC34","WEE2"
"CDC34","WEE1"
"CDC34","GOLPH3L"
"CDC34","KIF5A"
"CDC34","CTU2"
"CDC34","FBXL20"
"CDC34","RFPL4AL1"
"CDC34","RFPL4A"
"CDC34","KIF5C"
"RABAC1","STX10"
"RABAC1","STX6"
"RABAC1","ARL1"
"RABAC1","RAB11A"
"RABAC1","RAB10"
"RABAC1","RAB11B"
"RABAC1","RAB5C"
"RABAC1","RAB25"
"RABAC1","SAR1A"
"RABAC1","RABL2A"
"RABAC1","RABL2B"
"RABAC1","RAB1A"
"RABAC1","SPG21"
"RABAC1","REN"
"RABAC1","RAB8A"
"RABAC1","NR3C2"
"RABAC1","ENSP00000377252"
"RABAC1","RAB4B"
"RABAC1","RAB5A"
"RABAC1","YIPF5"
"RABAC1","TBC1D22A"
"RABAC1","TBC1D22B"
"RABAC1","RAB8B"
"RABAC1","VAMP2"
"RABAC1","RAP1A"
"RABAC1","RAB4A"
"RABAC1","VTA1"
"RABAC1","RAB13"
"RABAC1","RHOA"
"RABAC1","ENSP00000404143"
"RABAC1","CTDNEP1"
"RABAC1","RIC1"
"RABAC1","TRAPPC8"
"RABAC1","PLEKHF2"
"RABAC1","RAB28"
"RABAC1","TRAPPC6B"
"RABAC1","TRAPPC6A"
"RABAC1","TMED9"
"RABAC1","TMED4"
"RABAC1","CTSD"
"RABAC1","RTN4"
"RABAC1","YIF1A"
"RABAC1","RAB33A"
"RABAC1","SYP"
"RABAC1","GDI1"
"RABAC1","MCF2L"
"RABAC1","RAB7A"
"RABAC1","RAB22A"
"RABAC1","RTN2"
"RABAC1","RTN1"
"RABAC1","OSTF1"
"RABAC1","RTN3"
"RABAC1","REEP5"
"RABAC1","STX8"
"RABAC1","SYNPR"
"RABAC1","YIPF7"
"RABAC1","RAB12"
"RABAC1","YIF1B"
"RABAC1","ANKRD27"
"RABAC1","SYS1"
"RABAC1","YIPF4"
"RABAC1","RAB5B"
"RABAC1","ENSP00000411633"
"RABAC1","RABGEF1"
"RABAC1","RAB3A"
"RABAC1","RIMS2"
"RABAC1","RAB40C"
"RABAC1","RAB40B"
"RABAC1","RAB6A"
"RABAC1","RAB40AL"
"RABAC1","RAB15"
"RABAC1","GAPVD1"
"RABAC1","RAB40A"
"RABAC1","RASEF"
"RABAC1","ENSP00000395798"
"RABAC1","ENSP00000397127"
"RABAC1","CRACR2A"
"RABAC1","RAB17"
"RABAC1","FAM160A2"
"RABAC1","ENSP00000301886"
"RABAC1","GLTPD2"
"RABAC1","CPTP"
"RABAC1","ENSP00000409466"
"BET1","YKT6"
"BET1","STX10"
"BET1","COPB1"
"BET1","ARF3"
"BET1","STX6"
"BET1","COPZ1"
"BET1","COPE"
"BET1","ARFGAP3"
"BET1","ARCN1"
"BET1","ARF1"
"BET1","ENSP00000282606"
"BET1","STX5"
"BET1","ARL5A"
"BET1","RAB1B"
"BET1","RAB43"
"BET1","ENSP00000327309"
"BET1","COPB2"
"BET1","SAR1A"
"BET1","STX12"
"BET1","RAB1A"
"BET1","ENSP00000408971"
"BET1","ENSP00000420824"
"BET1","SNAP23"
"BET1","ARF4"
"BET1","STX1A"
"BET1","SEC24B"
"BET1","VAMP2"
"BET1","STX4"
"BET1","STXBP3"
"BET1","ENSP00000006101"
"BET1","GOSR1"
"BET1","SEC23B"
"BET1","SEC23A"
"BET1","COPG1"
